Titulo,Autor,Ano,ISBN,Edição,Classificação,G.O.A.T,Lido,Editora
Dom Casmurro,Machado de Assis,,,Digital,Bom,NÂO,Sim,
Memórias Póstumas de Brás Cubas,Machado de Assis,,,Pocket,Bom,SIM,Sim,
O Perfume,Patrick Süskind,,,Brochura,Bom,SIM,Sim,
O Planeta dos Macacos,Pierre Boulle,,,Brochura,Bom,SIM,Sim,
O Senhor das Moscas,William Golding,,,Brochura,Bom,DÙVIDA,Sim,
O Gato Por Dentro,William S. B,,,Digital,,,Não,
Almoço Nu,William S. Burroughs,,,Brochura,Ruim,DÙVIDA,Sim,Companhia das Letras
Junky,William S. Burroughs,,,Brochura,Bom,DÙVIDA,Sim,Companhia das Letras
Queer,William S. Burroughs,,,Brochura,Bom,SIM,Sim,Companhia das Letras
E os Hipopótamos Foram Cozidos em Seus Tanques,William S. Burroughs/Jack Kerouac,,,Brochura,Bom,SIM,Sim,Companhia das Letras
A Morte de Ivan Ilitch,Liev Tólstoi,,,Brochura,Bom,SIM,Sim,
Cidade Grande Cidade Pequena,Jack Kerouac,,,Brochura,,,Não,L&PM
Um Parque De Diversões da Cabeça,Lawrence Ferlinghetti,,,Pocket,,,Não,L&PM
O imprecador,René-victor Pilhes,,,Brochura,,,Não,
Os Irmãos Karamazov,Fiodor Dostoievski,,,Capa dura,,,Não,Abril
O Declínio de um Homem,Osamu Dazai,,,Digital,Bom,SIM,Sim,
Sol Poente,Osamu Dazai,,,Digital,,,Não,
O Outro,Thomas Tryon,,,Capa dura,Bom,NÂO,Sim,
Zodiaco,Robert Greysmith,,,Pocket,Bom,NÂO,Sim,
Sra. Fletcher,Tom Perrotta,,,Digital,Médio,NÂO,Sim,
As Aventuras de Pinóquio,Carlo Collodi,,,Pocket,Bom,NÂO,Sim,
A Metamorfose,Franz Kafka,,,Brochura,Bom,SIM,Sim,
O Processo,Franz Kafka,,,Pocket,Médio,SIM,Sim,
O Caso de Charles Dexter Ward,H. P. Lovecraft,,,Pocket,Bom,NÂO,Sim,L&PM
O Castelo Animado,Diana Wynne,,,Brochura,Médio,NÂO,Sim,
O Último Desejo,Andrzej Sapkowski,,,,Bom,NÂO,Sim,
A Espada do Destino,Andrzej Sapkowski,,,Capa dura,Médio,NÂO,Sim,
Mitologia Nórdica,Neil Gaiman,,,Capa dura,Bom,NÂO,Sim,
O Mercador de Veneza,William Shakespeare,,,Pocket,,,Não,
O Retrato de Dorian Gray,Oscar Wilde,,,Capa dura,,,Não,Biblioteca Azul
Crepúsculo dos Ídolos,Friedrich Nietzsche,,,Brochura,,,Não,
O Castelo,Franz Kafka,,,Brochura,,,Não,
H.P. Lovecraft: Medo Clássico Volume 1,H. P. Lovecraft,,,Capa Dura,,,Não,Darkside
